epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,5185.45,1.46506,0.76641,1.00364,0.81597,0.50812,0.58584,0.31399,1.41082,0.66108,0.9888,0.00999994,0.00999994,0.00999994
58,5276.11,1.47028,0.7689,1.00242,0.81142,0.5091,0.58591,0.31534,1.40878,0.65988,0.98848,0.00999994,0.00999994,0.00999994
59,5367.26,1.46718,0.76386,1.0063,0.8181,0.51079,0.58858,0.31676,1.40647,0.65818,0.99045,0.00999994,0.00999994,0.00999994
60,5457.75,1.46368,0.76929,1.00462,0.82015,0.50878,0.58775,0.31563,1.40611,0.65722,0.98872,0.00999994,0.00999994,0.00999994
61,5548.09,1.46359,0.76277,1.00408,0.82171,0.50826,0.58872,0.31602,1.40548,0.65589,0.98787,0.00999994,0.00999994,0.00999994
62,5638.86,1.46705,0.76553,1.00198,0.82152,0.50814,0.58833,0.31584,1.41044,0.65688,0.9887,0.00999994,0.00999994,0.00999994
63,5729.14,1.46027,0.76018,1.002,0.81927,0.51107,0.58986,0.31607,1.40913,0.65663,0.9886,0.00999994,0.00999994,0.00999994
64,5819.72,1.46489,0.76488,1.00211,0.81878,0.51056,0.58996,0.31737,1.40731,0.65533,0.98837,0.00999994,0.00999994,0.00999994
65,5910.01,1.46881,0.76642,1.00303,0.82438,0.50883,0.58971,0.31702,1.40722,0.6543,0.98848,0.00999994,0.00999994,0.00999994
66,6001.05,1.45971,0.75832,1.00008,0.81718,0.51078,0.58977,0.31621,1.40676,0.65335,0.98862,0.00999994,0.00999994,0.00999994
67,6092.29,1.46446,0.76042,0.99895,0.81833,0.5113,0.59083,0.3169,1.40665,0.65286,0.98827,0.00999993,0.00999993,0.00999993
68,6182.5,1.45266,0.75179,1.00031,0.82077,0.51233,0.59143,0.3183,1.40294,0.65067,0.98732,0.00999993,0.00999993,0.00999993
69,6272.7,1.45475,0.75914,0.99952,0.81972,0.51228,0.59217,0.31862,1.40179,0.65016,0.98697,0.00999993,0.00999993,0.00999993
70,6362.33,1.45654,0.76159,1.0065,0.81655,0.51337,0.592,0.31817,1.40244,0.6502,0.98683,0.00999993,0.00999993,0.00999993
71,6453.26,1.46722,0.7646,1.00216,0.81954,0.51371,0.59286,0.31896,1.40135,0.65003,0.98703,0.00999993,0.00999993,0.00999993
72,6544.19,1.46235,0.75721,1.00041,0.81886,0.51426,0.59307,0.31878,1.4014,0.64891,0.987,0.00999993,0.00999993,0.00999993
73,6634.86,1.46193,0.75481,1.00095,0.82161,0.51348,0.59277,0.31928,1.40053,0.64703,0.98681,0.00999993,0.00999993,0.00999993
74,6725.92,1.46485,0.76102,1.00238,0.82003,0.5139,0.59254,0.31952,1.39951,0.64748,0.98674,0.00999993,0.00999993,0.00999993
75,6816.69,1.45523,0.75515,1.0022,0.82328,0.5141,0.59365,0.31999,1.39874,0.64749,0.98686,0.00999993,0.00999993,0.00999993
